tweet_ID	_golden	is_the_tweet_text_in_the_english_language	the_text_is_about_the_drugs_of_interest	genre_in_which_the_drug_is_mentioned_	sentiment_of_the_author_about_the_drug	theme_on_the_drug_ussage
297031956439371776	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
296996636222173184	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296990537708363776	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296989363299049472	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296983910699659264	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296939723719585792	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296936745755361280	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296914625000247296	true	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
296880198144647168	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296857649578913793	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296852192760041473	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
296831888155369472	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296788833608024064	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296775319568932864	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
296753567899996160	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296729605866414081	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296681337820164096	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296671351182331904	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296671099524112384	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296656121639350272	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296649138110623745	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296633820512399360	true	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
296616456110620673	true	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296611930460790784	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296579730776395776	true	Yes	No		Neither positive nor negative (neutral)	
296502727557644289	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296456212709535744	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296453687742713856	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296440232449019904	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296420225610567680	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
296408989057548288	true	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296402932499378176	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296400831153061889	true	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296391935009107969	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296375153590427649	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296361887027847168	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296336419222335488	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296328953365413889	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296319482610200576	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296304638955757568	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296289434603761664	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296273966023208960	false	Yes	No		Neither positive nor negative (neutral)	
296273798238449665	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296233067364884480	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296197843616690177	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296196757275148288	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296178512040173568	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296130789282807808	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296129140912959488	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296127085687209985	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296107389244014592	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
296100015657607169	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296094743396483072	false	Yes	No		Neither positive nor negative (neutral)	
296088393258004480	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296087843783192578	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296067484614795264	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
297266434822766592	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296063722336702464	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296063546192691200	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296042625012727809	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
296007254421958656	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
295980905825198080	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295971997102522368	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295961775571079168	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295960324375453696	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295954318098579459	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
295949163332505600	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295938832728223746	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295938715317059584	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295934541984587777	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295906935063056385	false	Yes	No	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295880167023337473	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295874278220505088	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295870515921444864	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295790794797899777	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295774860641193985	false	Yes	No		Neither positive nor negative (neutral)	
295762600673808385	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
295759845028683776	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295744972014116864	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295701057659621377	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295693189153689602	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
295688697024765953	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295685991719661568	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295684628562452480	false	Yes	Yes		Neither positive nor negative (neutral)	
295666165236248576	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295655469782016001	false	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Negative about the drug	Disgust (Drug users or usage as repulsive)
295631780344655872	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295618069160681473	false	Yes	No		Neither positive nor negative (neutral)	
295613497377701889	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295601916874985473	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
295570719637647360	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295505435312680960	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295395657781485569	false	Yes	No		Neither positive nor negative (neutral)	
295383024554606593	false	Yes	No		Neither positive nor negative (neutral)	
295370592620785665	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295365584646983681	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295350485156761600	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295340284592652289	false	Yes	No		Neither positive nor negative (neutral)	
295339059851714560	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295311142555885568	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295294981910958080	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295291471270141952	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295229475275292673	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295195560124768256	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295181043634405376	false	Yes	No		Neither positive nor negative (neutral)	
295151469592731649	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
295102383686557697	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295092518654193665	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295082867569082368	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295056095339229184	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
294929129562832896	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294918371156303872	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294898477585006592	false	Yes	No		Neither positive nor negative (neutral)	
294894459437580288	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294892953665687552	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	
294846984093843456	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
294842533937291264	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294701903126872064	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
294647159062659072	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294613831139876864	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294604813386252288	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294603483796099072	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294599184634507264	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
294595514614284288	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
294578015986409472	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294577697215115265	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
294567815418097664	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294556004258021376	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294548102193504256	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
294539302547906560	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294523305485008896	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
294499016283131904	false	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	
294485284115075072	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294376634847473664	false	Yes	No		Neither positive nor negative (neutral)	
294354056925827072	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
294343504052776961	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
293558414234234880	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
293547475476828160	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
293541494390923264	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
293527191839461376	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
293502940352757760	false	Yes	Yes	Marketing (The writer is trying to sell some product)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
293440294240784385	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
293436414530555904	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	Craving (Possibly related to stress relief)
293185888735854594	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
293151944212619265	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
293144889431035904	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
293108436734988288	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
293106767381016578	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
293087200940290049	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
293064929211199488	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
293060198015303680	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
292893537341689856	false	Yes	No		Neither positive nor negative (neutral)	
292852110209458176	false	Yes	No		Neither positive nor negative (neutral)	
292840793968898050	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292829066690691072	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292822712345296897	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292819201721245696	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
292785181717327873	false	Yes	No		Neither positive nor negative (neutral)	
292756811436675072	false	Yes	Yes	Humor (The tweet is generally funny)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
292726549529124864	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292704529416343552	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292688612053626882	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
292677107090341888	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292675030888894464	false	Yes	No		Neither positive nor negative (neutral)	
292669909656276992	false	Yes	No		Neither positive nor negative (neutral)	
292661839794413570	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
292633452749144064	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292612942615162880	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292529413030023168	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	
292499851579637761	false	Yes	No		Neither positive nor negative (neutral)	
292481908368093184	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292481308595204096	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
292453873635975169	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292420394680467456	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
292419824259325952	false	Yes	Yes	Cultural reference (The tweet mentions something specific to the popular culture.	Neither positive nor negative (neutral)	
292413100794204160	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
292390585778716672	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292387796574937088	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	
292359740871303168	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292348521095499779	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292329860632809473	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
292297010877431808	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292296494952890368	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	
